date,team1,team2,city,venue,toss_winner,toss_decision,winner,year,home_team,team1_recent_form,team2_recent_form,team1_h2h_wins,team2_h2h_wins,toss_match_win,target,team1_strength,team2_strength
2015-01-11,New Zealand,Sri Lanka,Christchurch,Hagley Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,0,0,0,0,0,1,0.6271186440677966,0.41899441340782123
2015-01-12,Ireland,Scotland,Unknown,Dubai International Cricket Stadium,Ireland,field,Ireland,2015,Neutral,0,0,0,0,1,1,0.4024390243902439,0.5714285714285714
2015-01-15,New Zealand,Sri Lanka,Hamilton,Seddon Park,New Zealand,bat,Sri Lanka,2015,New Zealand,1,0,1,0,0,0,0.6271186440677966,0.41899441340782123
2015-01-16,South Africa,West Indies,Durban,Kingsmead,South Africa,bat,South Africa,2015,South Africa,0,0,0,0,1,1,0.5828220858895705,0.34591194968553457
2015-01-16,Australia,England,Unknown,Sydney Cricket Ground,England,bat,Australia,2015,Australia,0,0,0,0,0,1,0.5705882352941176,0.5895953757225434
2015-01-18,South Africa,West Indies,Johannesburg,New Wanderers Stadium,West Indies,field,South Africa,2015,South Africa,1,0,1,0,0,1,0.5828220858895705,0.34591194968553457
2015-01-18,Australia,India,Unknown,Melbourne Cricket Ground,India,bat,Australia,2015,Australia,1,0,0,0,0,1,0.5705882352941176,0.673469387755102
2015-01-20,England,India,Brisbane,"Brisbane Cricket Ground, Woolloongabba",India,bat,England,2015,Neutral,0,0,0,0,0,1,0.5895953757225434,0.673469387755102
2015-01-20,New Zealand,Sri Lanka,Nelson,Saxton Oval,Sri Lanka,bat,New Zealand,2015,New Zealand,1,1,1,1,0,1,0.6271186440677966,0.41899441340782123
2015-01-21,South Africa,West Indies,East London,Buffalo Park,West Indies,bat,South Africa,2015,South Africa,2,0,2,0,0,1,0.5828220858895705,0.34591194968553457
2015-01-23,New Zealand,Sri Lanka,Dunedin,University Oval,Sri Lanka,field,New Zealand,2015,New Zealand,2,1,2,1,0,1,0.6271186440677966,0.41899441340782123
2015-01-23,Australia,England,Hobart,Bellerive Oval,Australia,field,Australia,2015,Australia,2,1,1,0,1,1,0.5705882352941176,0.5895953757225434
